Nguyen Thi Ha;nguyenthiha@ut.edu.vn;NTH1306;10100242,10100246,10100247
Tran Van Hoang;tranvanhoang@ut.edu.vn;TVH1307;10100234,10100242,10100247
Le Thi Kieu;lethikieu@ut.edu.vn;LTK1308;10100236,10100243
Pham Van Long;phamvanlong@ut.edu.vn;PVL1309;10100243,10100244
Vo Thi Ngoc;vothingoc@ut.edu.vn;VTN1310;10100243,10100245
Hoang Van Phuc;hoangvanphuc@ut.edu.vn;HVP1311;10100243,10100246
Dang Thi Thu;dangthithu@ut.edu.vn;DTT1312;10100243,10100247
Bui Van Tien;buivantien@ut.edu.vn;BVT1313;10100234,10100243
Nguyen Thi Duyen;nguyenthiduyen@ut.edu.vn;NTD1314;10100237,10100243
Tran Van Hoa;tranvanhoa@ut.edu.vn;TVH1315;10100235,10100237,10100241,10100243
Le Thi Lan;lethilan@ut.edu.vn;LTL1316;10100235,10100236,10100237,10100244
Pham Van Nam;phamvannam@ut.edu.vn;PVN1317;10100237,10100238,10100244,10100248
Vo Thi Quynh;vothiquynh@ut.edu.vn;VTQ1318;10100244,10100248
Hoang Van Toan;hoangvantoan@ut.edu.vn;HVT1319;10100236,10100237,10100239,10100244
Dang Thi Uyen;dangthiuyen@ut.edu.vn;DTU1320;10100238,10100239,10100240,10100241,10100244
Bui Van Vuong;buivanvuong@ut.edu.vn;BVV1321;10100240,10100241,10100242
Nguyen Thi Xuan;nguyenthixuan@ut.edu.vn;NTX1322;10100236,10100241,10100242,10100245
Tran Van Anh;tranvananh@ut.edu.vn;TVA1323;10100242,10100244,10100245
Le Thi Binh;lethibinh@ut.edu.vn;LTB1324;10100234,10100235,10100244,10100245
Pham Van Chau;phamvanchau@ut.edu.vn;PVC1325;10100235,10100244,10100245
Vo Thi Dung;vothidung@ut.edu.vn;VTD1326;10100244,10100245,10100246
Hoang Van Giang;hoangvangiang@ut.edu.vn;HVG1327;10100244,10100245
Dang Thi Hue;dangthihue@ut.edu.vn;DTH1328;10100244,10100245,10100248
Bui Van Khai;buivankhai@ut.edu.vn;BVK1329;10100245,10100247
Nguyen Thi Lien;nguyenthilien@ut.edu.vn;NTL1330;10100234,10100235,10100245
Tran Van Minh;tranvanminh@ut.edu.vn;TVM1331;10100245,10100246
Le Thi Nhung;lethinhung@ut.edu.vn;LTN1332;10100245,10100246,10100247
Pham Van Phong;phamvanphong@ut.edu.vn;PVP1333;10100236,10100244,10100246
